All,အားလုံး
None,ဘာမှမရှိ
"Read Details",အသေးစိတ်ကြည့်ရန်
"Mark as Read",ဖတ္ၿပီးဟုထား
"Are you sure?",သေချာလား?
Remove,ဖျက်ပါ
"Messages Inbox",သတင္းအ၀င္
"You have %1 new system messages","မင္းမွာ စနစ္အသစ္အတြက္ သတင္းစကားေတြ %1 ရွိတယ္"
"You have %1 new system message","မင္းမွာ စနစ္အသစ္အတြက္ သတင္းစကား %1 ရွိတယ္"
"Incoming Message","အ၀င္Message "
close,ပိတ်မည်
"1 Hour","၁ နာရီ"
"2 Hours","၂ နာရီ"
"6 Hours","၆ နာရီ"
"12 Hours","၁၂ နာရီ"
"24 Hours","၂၄ နာရီ"
Close,ပိတ်မည်
Message,စာ
Remove,ဖယ္ပစ္ပါ
"Are you sure?",ေသခ်ာလား?
Phone,ဖုန်း
message,စာ
"This operation can take a long time","ဤလုပ်​ဆောင်ခြင်းသည် အချိန်ကြာနိုင်သည်"
"Special Price",အထူး​စျေးနှုန်း
"Warning message",သတိ​ပေးစာ
"Catalog Section","Catalog အပိုင်း"
"Invalid XML in file %1:\n%2","%1:\n%2 file တွင် XML format မှား​နေသည်"
"Unique constraint violation found","ထူးခြားသတ်မှတ်ချက်များကို ​ဖောက်ဖျက်မှု တွေ့ရှိ"
Exception,ချွင်းချက်
"Edit Customer","ဝယ်ယူသူ အချက်အလက်ကို ပြင်ပါ"
